cancer_type,tcga_abbrev,rank,gene_index,gene_symbol,importance_score,known_biomarker
brain lower grade glioma,LGG,3,25,gene_25,0.013927,
brain lower grade glioma,LGG,4,50,gene_50,0.013422,
brain lower grade glioma,LGG,5,72,gene_72,0.013232,
brain lower grade glioma,LGG,6,27,gene_27,0.012502,
brain lower grade glioma,LGG,7,69,gene_69,0.012434,
brain lower grade glioma,LGG,8,40,gene_40,0.011443,
brain lower grade glioma,LGG,9,8,gene_8,0.011327,
brain lower grade glioma,LGG,10,46,gene_46,0.011096,
uterine carcinosarcoma,UCS,1,38,gene_38,0.025002,
uterine carcinosarcoma,UCS,2,44,gene_44,0.011632,
uterine carcinosarcoma,UCS,3,42,gene_42,0.010779,
uterine carcinosarcoma,UCS,4,61,gene_61,0.009270,
uterine carcinosarcoma,UCS,5,33,gene_33,0.007604,
uterine carcinosarcoma,UCS,6,43,gene_43,0.007595,
uterine carcinosarcoma,UCS,7,37,gene_37,0.007285,
uterine carcinosarcoma,UCS,8,51,gene_51,0.007214,
uterine carcinosarcoma,UCS,9,39,gene_39,0.007175,
uterine carcinosarcoma,UCS,10,45,gene_45,0.007167,
thymoma,THYM,1,37,gene_37,0.137452,
thymoma,THYM,2,39,gene_39,0.108577,
thymoma,THYM,3,36,gene_36,0.104337,
thymoma,THYM,4,28,gene_28,0.102508,
thymoma,THYM,5,40,gene_40,0.098484,
thymoma,THYM,6,35,gene_35,0.097715,
thymoma,THYM,7,45,gene_45,0.096281,
thymoma,THYM,8,27,gene_27,0.095619,
thymoma,THYM,9,53,gene_53,0.093875,
thymoma,THYM,10,38,gene_38,0.091395,
stomach adenocarcinoma,STAD,1,48,gene_48,0.020295,
stomach adenocarcinoma,STAD,2,57,gene_57,0.010900,
stomach adenocarcinoma,STAD,3,53,gene_53,0.010713,
stomach adenocarcinoma,STAD,4,17,gene_17,0.009657,
stomach adenocarcinoma,STAD,5,37,gene_37,0.008881,
stomach adenocarcinoma,STAD,6,22,gene_22,0.008648,
stomach adenocarcinoma,STAD,7,63,gene_63,0.008409,
stomach adenocarcinoma,STAD,8,75,gene_75,0.008381,
stomach adenocarcinoma,STAD,9,66,gene_66,0.007856,
stomach adenocarcinoma,STAD,10,24,gene_24,0.007242,
diffuse large B-cell lymphoma,DLBC,1,38,gene_38,0.039093,
diffuse large B-cell lymphoma,DLBC,2,53,gene_53,0.033747,
diffuse large B-cell lymphoma,DLBC,3,36,gene_36,0.033647,
diffuse large B-cell lymphoma,DLBC,4,59,gene_59,0.028989,
diffuse large B-cell lymphoma,DLBC,5,37,gene_37,0.027058,
diffuse large B-cell lymphoma,DLBC,6,50,gene_50,0.024687,
diffuse large B-cell lymphoma,DLBC,7,46,gene_46,0.023883,
diffuse large B-cell lymphoma,DLBC,8,10,gene_10,0.023454,
diffuse large B-cell lymphoma,DLBC,9,67,gene_67,0.022747,
diffuse large B-cell lymphoma,DLBC,10,39,gene_39,0.022524,
lung squamous cell carcinoma,LUSC,1,68,gene_68,0.020610,
lung squamous cell carcinoma,LUSC,2,37,gene_37,0.015453,
lung squamous cell carcinoma,LUSC,3,54,gene_54,0.014115,
lung squamous cell carcinoma,LUSC,4,63,gene_63,0.012967,
lung squamous cell carcinoma,LUSC,5,30,gene_30,0.012935,
lung squamous cell carcinoma,LUSC,6,51,gene_51,0.012656,
lung squamous cell carcinoma,LUSC,7,4100,gene_4100,0.012385,
lung squamous cell carcinoma,LUSC,8,33,gene_33,0.012293,
lung squamous cell carcinoma,LUSC,9,42,gene_42,0.012198,
lung squamous cell carcinoma,LUSC,10,35,gene_35,0.011797,
mesothelioma,MESO,1,40,gene_40,0.050027,
mesothelioma,MESO,2,50,gene_50,0.049631,
mesothelioma,MESO,3,48,gene_48,0.046650,
mesothelioma,MESO,4,61,gene_61,0.046583,
mesothelioma,MESO,5,46,gene_46,0.046182,
mesothelioma,MESO,6,43,gene_43,0.042765,
mesothelioma,MESO,7,22,gene_22,0.042695,
mesothelioma,MESO,8,44,gene_44,0.042503,
mesothelioma,MESO,9,36,gene_36,0.041239,
mesothelioma,MESO,10,51,gene_51,0.040681,
kidney chromophobe,KICH,1,16,gene_16,0.057969,
kidney chromophobe,KICH,2,63,gene_63,0.045795,
kidney chromophobe,KICH,3,64,gene_64,0.042094,
kidney chromophobe,KICH,4,46,gene_46,0.041882,
kidney chromophobe,KICH,5,31,gene_31,0.041464,
kidney chromophobe,KICH,6,37,gene_37,0.040721,
kidney chromophobe,KICH,7,61,gene_61,0.039755,
kidney chromophobe,KICH,8,40,gene_40,0.039434,
kidney chromophobe,KICH,9,15,gene_15,0.039303,
kidney chromophobe,KICH,10,17,gene_17,0.038625,
uveal melanoma,UVM,1,22,gene_22,0.011967,
uveal melanoma,UVM,2,31,gene_31,0.011077,
uveal melanoma,UVM,3,28,gene_28,0.009619,
uveal melanoma,UVM,4,12861,gene_12861,0.009485,
uveal melanoma,UVM,5,36,gene_36,0.009431,
uveal melanoma,UVM,6,12,gene_12,0.009425,
uveal melanoma,UVM,7,63,gene_63,0.009259,
uveal melanoma,UVM,8,49,gene_49,0.008917,
uveal melanoma,UVM,9,10,gene_10,0.008812,
uveal melanoma,UVM,10,20,gene_20,0.008657,
cholangiocarcinoma,CHOL,1,752,gene_752,0.005609,
cholangiocarcinoma,CHOL,2,760,gene_760,0.004132,
cholangiocarcinoma,CHOL,3,759,gene_759,0.004088,
cholangiocarcinoma,CHOL,4,733,gene_733,0.003991,
cholangiocarcinoma,CHOL,5,736,gene_736,0.003967,
cholangiocarcinoma,CHOL,6,31,gene_31,0.003543,
cholangiocarcinoma,CHOL,7,753,gene_753,0.003541,
cholangiocarcinoma,CHOL,8,740,gene_740,0.003441,
cholangiocarcinoma,CHOL,9,742,gene_742,0.003400,
cholangiocarcinoma,CHOL,10,54,gene_54,0.003370,
adrenocortical cancer,ACC,1,44,gene_44,0.167854,
adrenocortical cancer,ACC,2,27,gene_27,0.156972,
adrenocortical cancer,ACC,3,41,gene_41,0.144353,
adrenocortical cancer,ACC,4,65,gene_65,0.141021,
adrenocortical cancer,ACC,5,42,gene_42,0.132558,
adrenocortical cancer,ACC,6,37,gene_37,0.131880,
adrenocortical cancer,ACC,7,32,gene_32,0.130095,
adrenocortical cancer,ACC,8,54,gene_54,0.122096,
adrenocortical cancer,ACC,9,47,gene_47,0.121961,
adrenocortical cancer,ACC,10,43,gene_43,0.117495,
class_32,class_32,1,16981,gene_16981,0.029284,
class_32,class_32,2,16984,gene_16984,0.019183,
class_32,class_32,3,16965,gene_16965,0.017961,
class_32,class_32,4,16973,gene_16973,0.016929,
class_32,class_32,5,16988,gene_16988,0.016578,
class_32,class_32,6,16954,gene_16954,0.016450,
class_32,class_32,7,17005,gene_17005,0.013685,
class_32,class_32,8,16960,gene_16960,0.013339,
class_32,class_32,9,16991,gene_16991,0.012732,
class_32,class_32,10,16968,gene_16968,0.012567,
